complaint_id,event_date,awareness_date,device_model,device_name,udi,description,narrative,nonconformity,investigation_findings,failure_mode,device_problem,event_type,serious,outcome,symptom_code,fault_code,root_cause,region
C001,2023-07-01,2023-07-06,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,"During surgery, the stapler mechanism jammed",Foreign particle inside device,Mechanical jam,Misfire,Device Did Not Operate as Intended,Malfunction,0,Near Miss,laceration,error456,Material degradation,Europe
C002,2023-11-06,2023-11-16,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Foreign debris found in patient,"Device did not operate as expected, causing near miss",Peeling packaging,Material tear,Leak,Device Did Not Operate as Intended,Adverse Event,1,Skin/Subcutaneous Injury (Laceration),productSticking,,User error,United Kingdom
C003,2023-08-31,2023-09-09,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device failed to fire resulting in bleeding,Patient experienced a small cut,Incorrect labeling,Battery drained,Breakage,Broken or damaged component,Use Error,1,Near Miss,brokenOrDamagedComponent,,Battery failure,NorthAmerica
C004,2023-07-19,2023-07-26,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,"Device did not operate as expected, causing near miss",Foreign particle inside device,Insufficient training,Misfire,Incorrect Quantity in Package,Use Error,1,Skin/Subcutaneous Injury (Laceration),doesNotPerformProperly,error456,Unknown,Europe
C005,2023-06-18,2023-06-20,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device failed to fire resulting in bleeding,Patient experienced a small cut,Foreign particle inside device,Material tear,Electrical failure,Device Did Not Operate as Intended,Adverse Event,0,Skin/Subcutaneous Injury (Laceration),,error456,Mechanical jam,NorthAmerica
C006,2023-12-03,2023-12-05,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Staple misfired causing laceration,Patient experienced a small cut,Broken component,Confirmed no defect,Leak,Broken or damaged component,Use Error,1,No Harm,performance,fault123,Unknown,Europe
C007,2023-11-15,2023-11-22,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device failed to fire resulting in bleeding,"Device did not operate as expected, causing near miss",Incorrect labeling,Confirmed no defect,Breakage,Incorrect Quantity in Package,Procedure Issue,1,No Harm,,error456,User error,United Kingdom
C008,2023-02-14,2023-02-15,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device broke during procedure,"Device did not operate as expected, causing near miss",Peeling packaging,Battery drained,Failure to fire,Broken or damaged component,Use Error,1,Tissue Reaction,productSticking,,Unknown,NorthAmerica
C009,2023-01-03,2023-01-13,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Staple misfired causing laceration,"Device did not operate as expected, causing near miss",Foreign particle inside device,Insufficient training,Failure to fire,Broken or damaged component,Use Error,0,No Harm,defective,fault123,Packaging issue,Europe
C010,2023-09-02,2023-09-09,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Foreign debris found in patient,Patient experienced a small cut,Misfired staple,Confirmed no defect,Electrical failure,Broken or damaged component,Malfunction,0,No Harm,foreignMaterial,,Battery failure,NorthAmerica
C011,2023-11-26,2023-12-04,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Staple misfired causing laceration,Patient experienced a small cut,Misfired staple,Material tear,Misfire,Device Did Not Operate as Intended,Procedure Issue,1,Skin/Subcutaneous Injury (Laceration),brokenOrDamagedComponent,,Mechanical jam,Europe
C012,2023-02-19,2023-02-28,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,"During surgery, the stapler mechanism jammed",Broken component,Material tear,Leak,Incorrect Quantity in Package,Malfunction,1,Tissue Reaction,laceration,error456,Packaging issue,Europe
