complaint_id,event_date,awareness_date,device_model,device_name,udi,description,narrative,nonconformity,investigation_findings,failure_mode,device_problem,event_type,serious,outcome,symptom_code,fault_code,root_cause
C001,2023-01-12,2023-01-14,HUG2000,Huggler 2000,UDI-HUG2000,Transient redness after comfort cycle,"Nurse observed mild redness on the infant's shoulder after a supervised hug cycle.",Wrap seam pressure mark,Fit check not fully documented,Localized pressure,Patient Device Interaction Problem,Adverse Event,0,Skin/Subcutaneous Injury (Pressure Mark),pressureMark,HUG-F001,Incomplete fit check
C002,2023-02-03,2023-02-07,HUG2000,Huggler 2000,UDI-HUG2000,Comfort cycle ended early,"Device alarmed and released early during bedside use; infant was not harmed.",No defect confirmed,Alarm threshold activated,Premature release,Protective Measures Problem,Malfunction,0,No Harm,alarm,HUG-F002,Sensor calibration drift
C003,2023-02-18,2023-02-21,HUG2000,Huggler 2000,UDI-HUG2000,Parent reported wrap felt too warm,"Care team discontinued use after the wrap surface felt warmer than expected.",Temperature warning not repeated,Temperature within safety limit on test,Localized warmth,Thermal Problem,Adverse Event,0,No Harm,temperature,HUG-F003,Use environment near warmer
C004,2023-03-04,2023-03-06,HUG2000,Huggler 2000,UDI-HUG2000,Pressure sensor alarm during use,"The control unit alarmed for elevated pressure and the manual quick release was used.",Pressure sensor out of tolerance,Pressure sensor calibration failed,Excess pressure,Device Sensing Problem,Malfunction,1,Near Miss,pressure,HUG-F002,Sensor calibration drift
C005,2023-03-27,2023-03-29,HUG2000,Huggler 2000,UDI-HUG2000,Textile tab frayed before use,"User identified fraying at a hook-and-loop tab during pre-use inspection.",Textile fray,Incoming inspection not performed,Material fray,Material Integrity Problem,Malfunction,0,No Harm,materialFray,HUG-F004,Supplier textile variation
C006,2023-04-08,2023-04-10,HUG2000,Huggler 2000,UDI-HUG2000,Delayed release button response,"Manual release required a second press; the infant was removed without injury.",Release mechanism stiffness,Confirmed intermittent button resistance,Delayed release,Mechanical Problem,Malfunction,1,Near Miss,releaseDelay,HUG-F005,Button tolerance stack-up
C007,2023-04-19,2023-04-24,HUG2000,Huggler 2000,UDI-HUG2000,Skin redness after extended use,"The device was used longer than the recommended cycle interval and redness was noted.",Use-duration exceedance,No device defect confirmed,Prolonged contact,Use Error,Adverse Event,0,Skin/Subcutaneous Injury (Pressure Mark),pressureMark,HUG-F006,Use beyond labeled duration
C008,2023-05-13,2023-05-17,HUG2000,Huggler 2000,UDI-HUG2000,Alarm volume difficult to hear,"Staff reported that the alarm was difficult to hear in a busy care area.",Alarm volume setting low,Device met specification on test,Alarm audibility,Device Alarm System Problem,Malfunction,0,No Harm,alarm,HUG-F007,Configuration issue
C009,2023-05-28,2023-05-31,HUG2000,Huggler 2000,UDI-HUG2000,Infant startled when hug cycle started,"The hug cycle initiated faster than expected but no injury occurred.",Software timing not reproduced,No defect confirmed,Unexpected cycle start,Software Problem,Procedure Issue,0,No Harm,startle,HUG-F008,Operator selected wrong preset
C010,2023-06-06,2023-06-09,HUG2000,Huggler 2000,UDI-HUG2000,Minor rash under wrap edge,"A mild rash was observed under the wrap edge after supervised use.",Cleaning residue suspected,No device defect confirmed,Skin irritation,Chemical/Material Problem,Adverse Event,0,Skin Irritation,irritation,HUG-F009,Cleaning residue
C011,2023-06-23,2023-06-26,HUG2000,Huggler 2000,UDI-HUG2000,Pressure exceeded alarm threshold,"Pressure log showed a brief exceedance and automatic relief occurred.",Pressure transient confirmed,Automatic pressure relief functioned,Excess compression,Device Sensing Problem,Malfunction,1,Near Miss,pressure,HUG-F002,Sensor calibration drift
C012,2023-07-11,2023-07-13,HUG2000,Huggler 2000,UDI-HUG2000,Wrap connector loosened,"The air tube connector loosened during repositioning; cycle stopped automatically.",Connector not fully seated,No component damage,Loose connection,Connection Problem,Malfunction,0,No Harm,connection,HUG-F010,Incomplete setup
C013,2023-08-02,2023-08-05,HUG2000,Huggler 2000,UDI-HUG2000,Transient pressure mark on arm,"A temporary pressure mark was observed and resolved without treatment.",Fit issue confirmed,No permanent injury,Localized pressure,Patient Device Interaction Problem,Adverse Event,0,Skin/Subcutaneous Injury (Pressure Mark),pressureMark,HUG-F006,Incorrect wrap size
C014,2023-08-18,2023-08-22,HUG2000,Huggler 2000,UDI-HUG2000,Control unit displayed sensor error,"Sensor error occurred before patient contact and device was removed from service.",Sensor cable intermittent,Sensor cable replaced,Sensor error,Electrical/Sensing Problem,Malfunction,0,No Harm,sensorError,HUG-F011,Cable strain
C015,2023-09-09,2023-09-12,HUG2000,Huggler 2000,UDI-HUG2000,Delayed alarm after occluded tube,"Occluded tube was identified; alarm occurred after a short delay.",Alarm delay reproduced,Software threshold update opened,Alarm delay,Device Alarm System Problem,Malfunction,1,Near Miss,alarmDelay,HUG-F012,Alarm threshold logic
C016,2023-09-24,2023-09-27,HUG2000,Huggler 2000,UDI-HUG2000,Wrap fabric pilled after cleaning,"Reusable demonstration wrap showed fabric pilling after repeated cleaning cycles.",Cleaning compatibility exceeded,Use beyond cleaning limit,Textile wear,Material Integrity Problem,Malfunction,0,No Harm,materialWear,HUG-F013,Excessive cleaning cycles
C017,2023-10-07,2023-10-10,HUG2000,Huggler 2000,UDI-HUG2000,Infant appeared uncomfortable during cycle,"Staff stopped the cycle after signs of discomfort; no injury was reported.",No device defect confirmed,Pressure within specification,Discomfort,Patient Device Interaction Problem,Adverse Event,0,No Harm,discomfort,HUG-F014,Patient-specific tolerance
C018,2023-10-26,2023-10-29,HUG2000,Huggler 2000,UDI-HUG2000,Quick-release tab detached during inspection,"Quick-release tab detached during pre-use check before patient contact.",Bond failure confirmed,Lot containment opened,Release tab detachment,Material Integrity Problem,Malfunction,1,Near Miss,release,HUG-F015,Adhesive bond weakness
C019,2023-11-16,2023-11-18,HUG2000,Huggler 2000,UDI-HUG2000,Temperature alarm during transport,"Temperature alarm occurred during transport near external warming equipment.",Environmental heat source identified,Device operated as designed,Temperature alarm,Thermal Problem,Malfunction,0,No Harm,temperature,HUG-F003,Use environment near warmer
C020,2023-12-04,2023-12-07,HUG2000,Huggler 2000,UDI-HUG2000,Pressure mark after wrong wrap size selected,"A larger infant was fitted with the wrong wrap size and developed a temporary mark.",Incorrect wrap size confirmed,No lasting injury,Localized pressure,Use Error,Adverse Event,0,Skin/Subcutaneous Injury (Pressure Mark),pressureMark,HUG-F006,Incorrect wrap size
